cars_P,cars_O,wait_P,wait_O,ped_P,hour_norm,is_rush_hour,green_time
12,24,80.12195287534179,3.6435940362699792,1,0.5,0,32.61219528753418
25,9,87.10199954281543,32.22444372254895,0,0.6666666666666666,1,40.0
4,9,12.5771206470011,8.534768712917034,1,0.7083333333333334,1,24.45771206470011
22,25,54.1711866944651,13.226526066014776,0,0.9583333333333334,0,33.01711866944651
2,21,29.71774967381987,50.383231111341026,1,0.5416666666666666,0,19.571774967381987
10,19,57.63810613878812,18.402997456450557,1,0.5833333333333334,0,28.76381061387881
16,8,5.605162921939069,82.66184061305923,0,0.08333333333333333,0,23.360516292193907
23,12,63.92280812737381,70.65429836611291,0,0.7916666666666666,0,34.79228081273738
15,10,21.951978919841878,29.268392647265106,0,0.25,0,24.195197891984186
18,7,21.475433575369816,87.0786225261129,1,0.08333333333333333,0,31.54754335753698
2,10,78.7578558602531,89.81744679775122,1,0.125,0,24.47578558602531
9,17,26.19816052608584,11.23296431652964,1,0.7083333333333334,1,29.819816052608584
6,25,54.28670651652447,52.88553577578927,1,0.08333333333333333,0,25.228670651652447
19,25,34.64110313753944,51.80859127483997,1,0.20833333333333334,0,33.66411031375395
6,5,2.967517339807636,88.31697664483893,1,0.625,0,20.096751733980764
2,2,61.085156337800264,11.720200545410309,0,0.041666666666666664,0,17.708515633780024
2,22,83.07741958381591,48.6539932453249,1,0.9166666666666666,0,24.907741958381592
16,8,46.96110906486648,21.195156175298518,0,0.875,0,27.49611090648665
18,13,52.172550967104534,40.55067959680397,1,0.08333333333333333,0,34.61725509671045
10,19,10.381476907282897,52.83672315413699,1,0.25,0,24.03814769072829
7,0,65.8340298711763,10.542086388766618,0,0.4583333333333333,0,22.18340298711763
25,5,29.928253429768993,73.43217868802935,0,0.16666666666666666,0,32.9928253429769
22,7,4.071066107905112,51.647943311025024,0,0.0,0,28.007106610790512
3,20,16.966856007057853,74.70775180932705,0,0.5,0,14.096685600705786
2,11,75.04599875395371,10.444152454102657,0,0.25,0,19.104599875395373
5,22,11.150564798198854,18.95188588979818,0,0.875,0,15.115056479819886
0,17,38.30569487701354,9.135019743675278,1,0.08333333333333333,0,18.830569487701354
7,2,58.22331478517903,31.526457065687907,0,0.041666666666666664,0,21.422331478517904
16,14,3.5440836376223137,9.082911707006996,1,0.25,0,28.154408363762233
8,11,81.39587697270399,42.31945451683842,0,0.9166666666666666,0,24.5395876972704
21,6,86.98940127388649,5.22458494438488,0,0.20833333333333334,0,35.49894012738865
10,16,22.56186053566005,53.71122541224699,1,0.875,0,25.256186053566005
5,0,42.44628735866592,36.89148560917991,1,0.8333333333333334,0,23.24462873586659
11,12,75.38950569320811,22.583939833992336,0,0.5833333333333334,0,26.33895056932081
23,2,30.23248990261145,4.112684421157499,1,0.16666666666666666,0,36.42324899026114
7,24,85.7816405845019,31.70030053639567,1,0.875,0,29.178164058450193
11,18,85.2215252092102,57.03730670243273,0,0.9166666666666666,0,27.322152520921023
9,12,67.36372930778279,74.6012493861836,0,0.0,0,23.93637293077828
19,6,62.8724420077812,14.407180112208696,0,0.8333333333333334,0,31.48724420077812
14,12,63.93149784794528,60.63976802776476,1,0.041666666666666664,0,32.593149784794534
12,22,51.072510761323485,69.49671461878441,0,0.20833333333333334,0,24.70725107613235
14,2,23.33042311025005,14.191791491007976,1,0.7083333333333334,1,33.53304231102501
19,24,0.0062246587035297285,3.5019165613684065,1,0.375,1,35.20062246587035
14,1,72.81412716243261,78.7514698332244,1,0.25,0,33.48141271624326
17,20,88.07145757609631,75.3703554369501,0,0.0,0,32.407145757609634
12,21,37.57365680080609,0.30535287571861525,0,0.9166666666666666,0,23.357365680080612
24,0,88.2220178398924,60.81857075952841,0,0.25,0,38.022201783989246
3,19,58.43388824065382,78.6288441510308,1,0.9166666666666666,0,23.243388824065384
5,3,42.80449313561938,83.04927554505062,0,0.0,0,18.280449313561938
8,14,71.98421009861482,10.42014589549892,1,0.16666666666666666,0,28.598421009861482
20,16,73.55458973773189,58.04466024961152,0,0.16666666666666666,0,33.35545897377319
8,0,3.806784180251468,18.51621666021428,1,0.7083333333333334,1,26.780678418025147
10,11,84.45949197614267,81.88660596645923,0,0.9583333333333334,0,26.44594919761427
22,19,58.98256782072566,64.11218872646175,1,0.8333333333333334,0,38.498256782072566
13,11,78.42696583579175,16.045948778882387,1,0.75,1,38.242696583579175
9,0,12.461125430405772,24.423608779957554,1,0.4583333333333333,0,23.446112543040577
22,2,30.443037302401077,55.84842974848965,0,0.3333333333333333,1,35.64430373024011
5,4,88.37226631127749,26.057776827228025,1,0.7083333333333334,1,32.83722663112775
4,9,10.340677149786197,65.74695595781166,0,0.375,1,19.234067714978618
5,16,65.57946731431528,27.240359457472135,1,0.375,1,30.557946731431528
13,3,8.946030441483098,81.77917989571024,1,0.4166666666666667,0,26.294603044148307
25,25,30.9286434291991,43.11778672367875,1,0.5416666666666666,0,38.09286434291991
1,9,30.15737195408038,61.83994412791714,0,0.20833333333333334,0,13.815737195408039
20,18,33.801421169569075,87.71044693317246,0,0.08333333333333333,0,29.380142116956907
25,2,17.823625411750832,19.895284738421843,1,0.0,0,36.78236254117508
3,12,50.0827146821494,26.083872768051812,1,0.75,1,27.40827146821494
22,21,19.55281919295658,7.529691853745507,0,0.3333333333333333,1,34.55528191929566
18,24,14.992300114109309,17.27505104442562,0,0.08333333333333333,0,25.89923001141093
22,0,81.27096367868344,40.64506134181809,0,0.125,0,35.72709636786835
15,12,23.083170716843583,57.689754171588476,0,0.7916666666666666,0,24.308317071684357
4,3,17.8173039202148,34.02287678828678,0,0.125,0,14.981730392021479
19,15,13.356181537742685,36.5316194851154,1,0.6666666666666666,1,36.53561815377427
15,21,82.53420054838335,29.02142833931755,1,0.625,0,35.25342005483834
20,21,78.72291049494757,48.85281663298125,0,0.0,0,33.872291049494756
10,22,86.63098169292135,80.91072342279068,1,0.041666666666666664,0,31.663098169292134
16,4,78.70349335014352,54.23280433248721,0,0.5,0,30.670349335014354
18,9,64.63184865991464,72.63498419775682,0,0.08333333333333333,0,30.863184865991464
16,1,5.971921758787026,11.744473305768388,1,0.0,0,28.397192175878704
24,14,29.753493052507228,14.462105423644854,0,0.8333333333333334,0,32.17534930525073
14,11,45.44997233451105,81.09814291956044,0,0.75,1,30.74499723345111
2,21,71.47306421741767,46.61985224639008,0,0.9583333333333334,0,18.74730642174177
13,24,18.549434885902496,48.18746738957229,1,0.625,0,27.25494348859025
25,12,54.66869199853361,21.02139865322779,0,0.875,0,35.46686919985336
0,23,16.377202996758996,45.617200816601496,1,0.4166666666666667,0,16.637720299675898
2,15,77.38950799093155,84.86523191818468,1,0.5416666666666666,0,24.338950799093155
12,25,34.53114849033421,14.74158814317462,0,0.2916666666666667,1,28.053114849033424
9,23,74.69466179655655,4.997434130069526,0,0.625,0,24.669466179655654
13,4,44.26478631866375,77.69926647973807,0,0.875,0,24.826478631866372
22,4,72.92596465947875,31.749465294201798,0,0.7916666666666666,0,34.892596465947875
14,12,41.29940989787103,9.133245888203588,0,0.0,0,25.329940989787104
1,19,55.56603813129049,56.6969662096502,0,0.9166666666666666,0,16.35660381312905
17,20,31.200117897597146,34.50726658483987,1,0.125,0,31.720011789759717
1,19,63.07356821035561,55.2897756316374,1,0.8333333333333334,0,22.107356821035562
3,21,64.22552008914478,26.674775041423615,0,0.5,0,18.822552008914478
25,9,82.51986672819083,78.52812495961203,0,0.6666666666666666,1,40.0
25,6,3.4365969180335796,35.282375142068894,1,0.25,0,35.34365969180335
14,11,71.06028554500048,6.780562669670419,0,0.041666666666666664,0,28.306028554500053
15,8,81.09642596840142,85.0304926693863,0,0.2916666666666667,1,35.109642596840146
2,24,73.74547935740459,79.9894860868789,1,0.6666666666666666,1,28.97454793574046
9,3,13.112137975821806,80.26578978405271,1,0.08333333333333333,0,23.51121379758218
3,13,5.663054577477187,37.364530635205554,0,0.9583333333333334,0,12.966305457747719
0,25,40.20467392204529,61.77762938687023,0,0.625,0,14.02046739220453
10,23,22.73273331722966,31.72527221090832,0,0.4583333333333333,0,20.273273331722965
22,0,31.090059588171506,16.011689460998628,0,0.4583333333333333,0,30.70900595881715
2,19,80.40915826630743,18.71802360036141,0,0.875,0,19.640915826630742
21,23,84.44360413462933,11.086930910631365,0,0.375,1,40.0
11,22,2.2185012992540196,54.4363413822478,0,0.20833333333333334,0,19.021850129925404
14,3,42.90245176107037,63.673243420760606,1,0.16666666666666666,0,30.490245176107038
0,6,32.601588295036436,42.60333624841004,1,0.375,1,23.260158829503645
17,20,29.428572480113047,53.37174564127371,0,0.125,0,26.542857248011305
17,18,27.69862476048078,33.8930039166717,0,0.16666666666666666,0,26.36986247604808
25,7,28.4302276801312,21.855482096218665,0,0.375,1,37.84302276801312
11,13,59.687596218012345,77.48771430478276,0,0.5,0,24.768759621801237
2,22,6.589003442837475,37.820853195673216,1,0.9583333333333334,0,17.258900344283745
4,18,37.996987155247695,57.32694336705484,0,0.2916666666666667,1,21.99969871552477
14,20,33.2330435315818,85.40387360474956,0,0.5,0,24.52330435315818
13,0,37.55029318165845,65.53624541397102,1,0.5833333333333334,0,29.155029318165845
6,11,26.398048964967458,42.379878820442286,0,0.125,0,17.439804896496746
8,3,50.23634295537417,61.93802732116799,1,0.5,0,26.423634295537415
5,24,37.953387937355664,15.726348178954344,1,0.4166666666666667,0,22.795338793735567
16,4,31.983070311093194,56.83652309594539,0,0.625,0,25.99830703110932
24,6,26.525549144788712,74.71563892743924,1,0.7916666666666666,0,36.85255491447887
14,0,19.6860766177655,10.301150300928072,1,0.7083333333333334,1,33.16860766177655
19,4,38.17881638978766,67.62172499618785,0,0.875,0,29.01788163897877
15,24,86.48262769663815,48.936673988249524,1,0.3333333333333333,1,40.0
20,0,10.874844970606679,79.53462168696508,0,0.0,0,27.087484497060668
8,12,47.34917178862216,52.34545651001352,1,0.5833333333333334,0,26.134917178862214
3,23,22.734727724224197,25.50568534744398,0,0.7916666666666666,0,14.67347277242242
2,1,6.341010192791235,23.623810913446196,1,0.125,0,17.234101019279123
16,7,80.16290249525031,68.58004990756459,0,0.5416666666666666,0,30.816290249525032
9,9,46.785069198145315,51.65836227741389,0,0.7083333333333334,1,26.87850691981453
3,13,86.0089384549369,48.92158363988368,1,0.375,1,31.000893845493692
14,11,51.14096489990488,12.403147474946804,0,0.9166666666666666,0,26.31409648999049
3,12,36.10948870476799,42.11485581515713,1,0.4583333333333333,0,21.0109488704768
20,15,66.81109232723465,19.620896375956917,1,0.9166666666666666,0,37.681109232723465
16,10,44.344777678585814,86.25803012713781,1,0.375,1,37.23447776785858
4,23,44.59708194968498,79.86017075108586,0,0.0,0,17.6597081949685
11,15,35.1869444546778,89.35951531611313,0,0.875,0,22.31869444546778
